Asset_Category,Asset_Class,Asset_Subclass,Asset_Type,Asset_Subtype
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Minor Plant,Hand Tool
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Minor Plant,Hedge Trimmer
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Minor Plant,Jack Hammer
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Minor Plant,Lawn Edger
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Minor Plant,Linemarking Equipment
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Minor Plant,Mower - Hand
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Minor Plant,Personnel Lifter
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Minor Plant,Pole Pruner
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Minor Plant,Pole Saw
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Minor Plant,Power Tool
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Minor Plant,Powerhead
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Minor Plant,Pressure Cleaner
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Minor Plant,Pressure Washer
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Minor Plant,Pump
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Minor Plant,Rolling Machine
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Minor Plant,Slab Lifter
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Minor Plant,Spray Painter
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Minor Plant,Spray Tank
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Minor Plant,Sprayer
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Minor Plant,Vaccum - Separator
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Minor Plant,Vacuum
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Minor Plant,Welder
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Minor Plant,Wet Vaccum
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Miscellaneous,Attachment
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Miscellaneous,Leveling Equipment
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Miscellaneous,Magnetic Lifter
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Miscellaneous,Miscellaneous
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Miscellaneous,Pallet Lifter
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Miscellaneous,Scarifier
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Miscellaneous,Spreader
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Miscellaneous,Top Dresser
"Fleet, Plant and Equipment","Plant, Fleet and Equipment",Plant,Small Tools,Workshop Equipment
"Fleet, Plant and Equipment",Urban Elements,Other Structures,,
Gates,Urban Elements,Structure,Gate,Boom Gate - Twin Lane
Gates,Urban Elements,Structure,Gate,Brace Arm Style
Gates,Urban Elements,Structure,Gate,Braced Steel Frame and Bars
Gates,Urban Elements,Structure,Gate,Braced Timber Ranch Style
Gates,Urban Elements,Structure,Gate,Chain
Gates,Urban Elements,Structure,Gate,Double Braced Steel
Gates,Urban Elements,Structure,Gate,Double Steel Bar
Gates,Urban Elements,Structure,Gate,Single Bar
Gates,Urban Elements,Structure,Gate,Single Timber Rail
Gates,Urban Elements,Structure,Gate,Steel Frame and Cyclone Mesh
Gates,Urban Elements,Structure,Gate,Steel Frame and Mesh Insert
Gates,Urban Elements,Structure,Gate,Steel Frame and Vert Bar
Gates,Urban Elements,Structure,Gate,Steel Truss Style
ICT Hardware,"Equipment, Furniture and Fittings",CCTV,Camera,Unidentified
ICT Hardware,"Equipment, Furniture and Fittings","Information, Communications and Technology",Camera,Unidentified
ICT Hardware,"Equipment, Furniture and Fittings","Information, Communications and Technology",CCTV,Network Assets
ICT Hardware,"Equipment, Furniture and Fittings","Information, Communications and Technology",Network,Data
ICT Hardware,"Equipment, Furniture and Fittings","Information, Communications and Technology",Network,Firewall
ICT Hardware,"Equipment, Furniture and Fittings","Information, Communications and Technology",Network,Network Switch
ICT Hardware,"Equipment, Furniture and Fittings","Information, Communications and Technology",Network,Uniterrupted Power Supply
ICT Hardware,"Equipment, Furniture and Fittings","Information, Communications and Technology",Telecommunications,Communication Room
ICT Hardware,Lighting and Electrical,CCTV,Camera,IndigoVision PTZ
ICT Hardware,Lighting and Electrical,CCTV,Camera,Pelco S5220-EG1
ICT Hardware,Lighting and Electrical,CCTV,Camera,Pelco S5220-EG1-X
